LocationCode,LocationName,Traps,TrapNights,,Visit1,Visit2,Visit3,Visit4,Visit5,Visit6,Visit7,Visit8,Visit9,Visit10,Visit11,Visit12,Visit13,Visit14,Visit15,Visit16,Visit17,Visit18
141,"J8, Syncline Ridge",30,180,,0,*,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,"G6, Water Bottle Canyon",30,180,,0,*,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,"H6, Wash east of Water Bottle Canyon",30,360,,0,*,0,*,0,0,*,0,0,*,*,0,NA,NA,NA,NA,NA,NA
144,"F3, 19-03 Road East",30,180,,0,*,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,"E3, 19-03 Road West (VABM Silent)",30,180,,0,*,1,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,"F4, South Silent Canyon, Oak Wash",30,180,,0,*,0,0,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,"G4, Upper 19-04 Road",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"H3, Lambs Canyon",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,"G2, End of Dead Horse Flat",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,"F3, Plateau Road (Middle)",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,"F4, Plateau Road Wash",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"E4, 20-14C Barricade Powerline Road",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,"E3, 20-1 Road North spur",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"F10, 30F-22, 40-mile Canyon",30,270,,*,0,*,0,*,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,"H11, Shoshone Mt. Ridge",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"H12, Shoshone Mt. Radio Tower above Tiva Canyon",30,180,,*,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"I10,Northeast of  Shoshone Mt. north of 16-04 Road",30,180,,*,0,0,*,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,"G6, SE corner Big Burn Valley, Water Bottle Canyon",30,360,,*,0,0,*,*,0,*,0,0,*,*,0,NA,NA,NA,NA,NA,NA
159,"H5, Back Mesa Road Upper, 19G-6",30,180,,*,*,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,"H6, Back Mesa Road Lower, 19G-11",30,360,,*,0,0,*,*,0,*,0,0,*,*,0,NA,NA,NA,NA,NA,NA
161,"G6, 18-01 Road by Well 8",20-30,170,,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,"G2, Dead Horse Flat",30,180,,*,*,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,"D3, 20-1 Road, UE20e pad west",30,180,,0,*,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"D3, 20-1 Road, UE20e pad east",30,180,,0,*,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
165,"K14, North of Cane Spring",30,180,,*,0,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,"I13, Lookout Peak Area",30,180,,*,0,0,*,*,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,"J6, Captain Jack Spring Wash",26-30,176,,0,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,"J7, Tippipah Highway Wash",27-30,144,,0,0,*,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
